1683700772145|116|statement|connection 0|url jdbc:p6spy:mysql://120.48.73.246:3306/mocard?characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=false&allowMultiQueries=true&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=Asia/Shanghai|alter table card_context add column createTime datetime(6)|alter table card_context add column createTime datetime(6)
1683700772292|116|statement|connection 0|url jdbc:p6spy:mysql://120.48.73.246:3306/mocard?characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=false&allowMultiQueries=true&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=Asia/Shanghai|alter table card_context add column orderIndex integer|alter table card_context add column orderIndex integer
1683700772431|108|statement|connection 0|url jdbc:p6spy:mysql://120.48.73.246:3306/mocard?characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=false&allowMultiQueries=true&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=Asia/Shanghai|alter table card_info add column createTime datetime(6)|alter table card_info add column createTime datetime(6)
1683700845915|33|statement|connection 0|url jdbc:p6spy:mysql://120.48.73.246:3306/mocard?characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=false&allowMultiQueries=true&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=Asia/Shanghai|select cardinfo0_.id as id1_1_, cardinfo0_.color as color2_1_, cardinfo0_.createTime as createti3_1_, cardinfo0_.description as descript4_1_, cardinfo0_.imageUrl as imageurl5_1_, cardinfo0_.title as title6_1_, cardinfo0_.type as type7_1_ from card_info cardinfo0_ where cardinfo0_.type=? order by cardinfo0_.createTime asc|select cardinfo0_.id as id1_1_, cardinfo0_.color as color2_1_, cardinfo0_.createTime as createti3_1_, cardinfo0_.description as descript4_1_, cardinfo0_.imageUrl as imageurl5_1_, cardinfo0_.title as title6_1_, cardinfo0_.type as type7_1_ from card_info cardinfo0_ where cardinfo0_.type='WRITING' order by cardinfo0_.createTime asc
1683700845971|30|statement|connection 0|url jdbc:p6spy:mysql://120.48.73.246:3306/mocard?characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=false&allowMultiQueries=true&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=Asia/Shanghai|select cardcontex0_.id as id1_0_, cardcontex0_.content as content2_0_, cardcontex0_.createTime as createti3_0_, cardcontex0_.orderIndex as orderind4_0_, cardcontex0_.pid as pid5_0_, cardcontex0_.role as role6_0_ from card_context cardcontex0_ where cardcontex0_.pid=? order by cardcontex0_.orderIndex asc|select cardcontex0_.id as id1_0_, cardcontex0_.content as content2_0_, cardcontex0_.createTime as createti3_0_, cardcontex0_.orderIndex as orderind4_0_, cardcontex0_.pid as pid5_0_, cardcontex0_.role as role6_0_ from card_context cardcontex0_ where cardcontex0_.pid=1 order by cardcontex0_.orderIndex asc
1683700866580|30|statement|connection 0|url jdbc:p6spy:mysql://120.48.73.246:3306/mocard?characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=false&allowMultiQueries=true&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=Asia/Shanghai|select cardinfo0_.id as id1_1_, cardinfo0_.color as color2_1_, cardinfo0_.createTime as createti3_1_, cardinfo0_.description as descript4_1_, cardinfo0_.imageUrl as imageurl5_1_, cardinfo0_.title as title6_1_, cardinfo0_.type as type7_1_ from card_info cardinfo0_ where cardinfo0_.type=? order by cardinfo0_.createTime asc|select cardinfo0_.id as id1_1_, cardinfo0_.color as color2_1_, cardinfo0_.createTime as createti3_1_, cardinfo0_.description as descript4_1_, cardinfo0_.imageUrl as imageurl5_1_, cardinfo0_.title as title6_1_, cardinfo0_.type as type7_1_ from card_info cardinfo0_ where cardinfo0_.type='WRITING' order by cardinfo0_.createTime asc
1683700866612|29|statement|connection 0|url jdbc:p6spy:mysql://120.48.73.246:3306/mocard?characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=false&allowMultiQueries=true&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=Asia/Shanghai|select cardcontex0_.id as id1_0_, cardcontex0_.content as content2_0_, cardcontex0_.createTime as createti3_0_, cardcontex0_.orderIndex as orderind4_0_, cardcontex0_.pid as pid5_0_, cardcontex0_.role as role6_0_ from card_context cardcontex0_ where cardcontex0_.pid=? order by cardcontex0_.orderIndex asc|select cardcontex0_.id as id1_0_, cardcontex0_.content as content2_0_, cardcontex0_.createTime as createti3_0_, cardcontex0_.orderIndex as orderind4_0_, cardcontex0_.pid as pid5_0_, cardcontex0_.role as role6_0_ from card_context cardcontex0_ where cardcontex0_.pid=1 order by cardcontex0_.orderIndex asc
1683700868321|30|statement|connection 0|url jdbc:p6spy:mysql://120.48.73.246:3306/mocard?characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=false&allowMultiQueries=true&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=Asia/Shanghai|select cardinfo0_.id as id1_1_, cardinfo0_.color as color2_1_, cardinfo0_.createTime as createti3_1_, cardinfo0_.description as descript4_1_, cardinfo0_.imageUrl as imageurl5_1_, cardinfo0_.title as title6_1_, cardinfo0_.type as type7_1_ from card_info cardinfo0_ where cardinfo0_.type=? order by cardinfo0_.createTime asc|select cardinfo0_.id as id1_1_, cardinfo0_.color as color2_1_, cardinfo0_.createTime as createti3_1_, cardinfo0_.description as descript4_1_, cardinfo0_.imageUrl as imageurl5_1_, cardinfo0_.title as title6_1_, cardinfo0_.type as type7_1_ from card_info cardinfo0_ where cardinfo0_.type='WRITING' order by cardinfo0_.createTime asc
1683700868354|29|statement|connection 0|url jdbc:p6spy:mysql://120.48.73.246:3306/mocard?characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=false&allowMultiQueries=true&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=Asia/Shanghai|select cardcontex0_.id as id1_0_, cardcontex0_.content as content2_0_, cardcontex0_.createTime as createti3_0_, cardcontex0_.orderIndex as orderind4_0_, cardcontex0_.pid as pid5_0_, cardcontex0_.role as role6_0_ from card_context cardcontex0_ where cardcontex0_.pid=? order by cardcontex0_.orderIndex asc|select cardcontex0_.id as id1_0_, cardcontex0_.content as content2_0_, cardcontex0_.createTime as createti3_0_, cardcontex0_.orderIndex as orderind4_0_, cardcontex0_.pid as pid5_0_, cardcontex0_.role as role6_0_ from card_context cardcontex0_ where cardcontex0_.pid=1 order by cardcontex0_.orderIndex asc
1683700935507|36|statement|connection 0|url jdbc:p6spy:mysql://120.48.73.246:3306/mocard?characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=false&allowMultiQueries=true&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=Asia/Shanghai|select cardinfo0_.id as id1_1_, cardinfo0_.color as color2_1_, cardinfo0_.createTime as createti3_1_, cardinfo0_.description as descript4_1_, cardinfo0_.imageUrl as imageurl5_1_, cardinfo0_.title as title6_1_, cardinfo0_.type as type7_1_ from card_info cardinfo0_ where cardinfo0_.type=? order by cardinfo0_.createTime asc|select cardinfo0_.id as id1_1_, cardinfo0_.color as color2_1_, cardinfo0_.createTime as createti3_1_, cardinfo0_.description as descript4_1_, cardinfo0_.imageUrl as imageurl5_1_, cardinfo0_.title as title6_1_, cardinfo0_.type as type7_1_ from card_info cardinfo0_ where cardinfo0_.type='WRITING' order by cardinfo0_.createTime asc
1683700935539|29|statement|connection 0|url jdbc:p6spy:mysql://120.48.73.246:3306/mocard?characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=false&allowMultiQueries=true&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=Asia/Shanghai|select cardcontex0_.id as id1_0_, cardcontex0_.content as content2_0_, cardcontex0_.createTime as createti3_0_, cardcontex0_.orderIndex as orderind4_0_, cardcontex0_.pid as pid5_0_, cardcontex0_.role as role6_0_ from card_context cardcontex0_ where cardcontex0_.pid=? order by cardcontex0_.orderIndex asc|select cardcontex0_.id as id1_0_, cardcontex0_.content as content2_0_, cardcontex0_.createTime as createti3_0_, cardcontex0_.orderIndex as orderind4_0_, cardcontex0_.pid as pid5_0_, cardcontex0_.role as role6_0_ from card_context cardcontex0_ where cardcontex0_.pid=1 order by cardcontex0_.orderIndex asc
